fid,gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de
1,1,1,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 가평리 181-2,128.2825925,37.0730169,1,700,2020-05
2,2,2,어린이보호,충청북도 단양군청,충청북도 단양군 매포읍 가평리 181-2,128.2825925,37.0730169,1,700,2020-05
3,3,3,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 별방리 540,128.4159704,37.09640154,1,700,2020-05
4,4,4,어린이보호,충청북도 단양군청,충청북도 단양군 영춘면 별방리 540,128.4159704,37.09640154,1,200,2020-05
5,5,5,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 임현리 456-1,128.3578322,37.10277047,1,700,2020-05
6,6,6,어린이보호,충청북도 단양군청,충청북도 단양군 어상천면 임현리 456-1,128.3578322,37.10277047,1,200,2020-05
7,7,7,차량방범,충청북도 단양군청,충청북도 단양군 적성면 대가리 182-2,128.2638648,37.03251581,1,200,2022-03
8,8,8,어린이보호,충청북도 단양군청,충청북도 단양군 적성면 대가리 182-2,128.2638648,37.03251581,1,200,2022-03
9,9,9,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 사평리 428-3,128.384739,37.02822244,1,200,2012-04
10,10,10,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 사평리 428-3,128.384739,37.02822244,1,200,2012-04
11,11,11,차량방범,충청북도 단양군청,충청북도 단양군 단성면 가산리 616-4,128.305044,36.89231609,1,200,2012-04
12,12,12,어린이보호,충청북도 단양군청,충청북도 단양군 단성면 가산리 616-4,128.305044,36.89231609,1,200,2019-04
13,13,13,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 보발리 715-1,128.448222,37.02967829,1,200,2022-03
14,14,14,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 보발리 715-1,128.448222,37.02967829,1,200,2022-03
15,15,15,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 대대리 220-1,128.4268534,36.99800358,1,200,2022-03
16,16,16,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 대대리 220-1,128.4268534,36.99800358,1,200,2022-03
17,17,17,어린이보호,충청북도 단양군청,충청북도 단양군 대강면 장정리 23-1,128.395257,36.84600566,1,200,2013-05
18,18,18,어린이보호,충청북도 단양군청,충청북도 단양군 대강면 장정리 23-1,128.395257,36.84600566,2,200,2021-05
19,19,19,어린이보호,충청북도 단양군청,충청북도 단양군 대강면 장정리 34-4,128.394974,36.84630791,1,200,2013-05
20,20,20,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 514,128.354495,36.98088,3,200,2022-03
21,21,21,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 418,128.350884,36.981255,2,200,2022-03
22,22,22,다목적,충청북도 단양군청,충청북도 단양군 적성면 현곡리 155-2,128.3002248,36.95247815,1,200,2013-12
23,23,23,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1017,128.3640878,36.97547942,2,200,2013-12
24,24,24,다목적,충청북도 단양군청,충청북도 단양군 대강면 장림리 222,128.354379,36.92227281,1,200,2013-12
25,25,25,다목적,충청북도 단양군청,충청북도 단양군 대강면 장림리 222,128.3543258,36.92227281,2,200,2013-12
26,26,26,다목적,충청북도 단양군청,충청북도 단양군 가곡면 대대리 315-9,128.423234,36.99760968,1,200,2013-12
27,27,27,다목적,충청북도 단양군청,충청북도 단양군 가곡면 대대리 315-9,128.423234,36.99760968,1,200,2021-05
28,28,28,다목적,충청북도 단양군청,충청북도 단양군 영춘면 장발리 220-1,128.416902,37.09428103,1,200,2013-12
29,29,29,다목적,충청북도 단양군청,충청북도 단양군 어상천면 임현리 1440,128.3512046,37.10286026,1,200,2013-12
30,30,30,다목적,충청북도 단양군청,충청북도 단양군 어상천면 석교리 634,128.337005,37.155749,1,200,2013-12
31,31,31,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 106-30,128.3649209,36.98889553,2,200,2014-12
32,32,32,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1036,128.361104,36.97699943,1,200,2014-12
33,33,33,다목적,충청북도 단양군청,충청북도 단양군 단성면 하방리 산2-27,128.3171691,36.94307983,2,200,2022-03
34,34,34,다목적,충청북도 단양군청,충청북도 단양군 단성면 하방리 산2-27,128.3171691,36.94307983,1,200,2021-03
35,35,35,다목적,충청북도 단양군청,충청북도 단양군 단성면 하방리 산2-27,128.3171691,36.94307983,1,200,2015-05
36,36,36,다목적,충청북도 단양군청,충청북도 단양군 매포읍 우덕리 614,128.310547,37.018845,2,200,2017-08
37,37,37,다목적,충청북도 단양군청,충청북도 단양군 매포읍 우덕리 715,128.305442,37.01909937,2,200,2017-08
38,38,38,다목적,충청북도 단양군청,충청북도 단양군 단양읍 후곡리 76-2,128.351232,36.93649644,2,200,2017-11
39,39,39,다목적,충청북도 단양군청,충청북도 단양군 단성면 상방리 107-7,128.3240742,36.93598956,2,200,2017-11
40,40,40,다목적,충청북도 단양군청,충청북도 단양군 단성면 상방리 191,128.321426,36.9369814,3,200,2017-11
41,41,41,다목적,충청북도 단양군청,충청북도 단양군 단성면 중방리 산13-1,128.3102529,36.93592617,2,200,2017-11
42,42,42,다목적,충청북도 단양군청,충청북도 단양군 단성면 외중방리 142-18,128.2969412,36.92766444,2,200,2018-01
43,43,43,다목적,충청북도 단양군청,충청북도 단양군 단성면 외중방리 116,128.2996226,36.93196355,2,200,2018-01
44,44,44,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1031,128.3559436,36.97885782,3,200,2018-12
45,45,45,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 641,128.3702344,36.9861322,3,200,2018-12
46,46,46,다목적,충청북도 단양군청,충청북도 단양군 단양읍 도전리 638,128.3694598,36.98155883,3,200,2018-12
47,47,47,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 646,128.3662743,36.98425272,3,200,2018-12
48,48,48,다목적,충청북도 단양군청,충청북도 단양군 단양읍 도전리 640,128.3678864,36.97969049,3,200,2018-12
49,49,49,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 645,128.3706329,36.984775,3,200,2018-12
50,50,50,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 645,128.3706329,36.984775,1,200,2020-06
51,51,51,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 646,128.3662743,36.98425272,3,200,2018-12
52,52,52,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1033,128.357705,36.97703306,3,200,2018-12
53,53,53,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1033,128.357705,36.97703306,1,200,2022-03
54,54,54,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 1270,128.3000177,37.03555918,3,200,2018-12
55,55,55,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 1269,128.297848,37.03488937,3,200,2018-12
56,56,56,다목적,충청북도 단양군청,충청북도 단양군 매포읍 우덕리 1004,128.3113695,37.01846887,3,200,2018-12
57,57,57,다목적,충청북도 단양군청,충청북도 단양군 단양읍 기촌리 42-7,128.400493,36.980013,3,200,2019-06
58,58,58,다목적,충청북도 단양군청,충청북도 단양군 매포읍 하시리 388,128.30735,37.03886,3,200,2019-06
59,59,59,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 7-8,128.309387,37.029284,3,200,2019-06
60,60,60,다목적,충청북도 단양군청,충청북도 단양군 단성면 북하리 324,128.33453,36.9302,3,200,2019-06
61,61,61,다목적,충청북도 단양군청,충청북도 단양군 대강면 성금리 270-2,128.366261,36.876086,2,200,2019-06
62,62,62,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 296-5,128.398105,36.914337,1,200,2019-06
63,63,63,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 산48-2,128.400096,36.914972,2,200,2019-06
64,64,64,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 245-9,128.39538,36.915735,2,200,2019-06
65,65,65,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 360-10,128.394436,36.915928,2,200,2019-06
66,66,66,다목적,충청북도 단양군청,충청북도 단양군 가곡면 사평리 227-11,128.398983,36.999927,2,200,2019-06
67,67,67,다목적,충청북도 단양군청,충청북도 단양군 어상천면 석교리 260,128.325698,37.14405,2,200,2019-06
68,68,68,다목적,충청북도 단양군청,충청북도 단양군 어상천면 석교리 260,128.325698,37.14405,1,200,2022-03
69,69,69,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1031,128.362417,36.976113,2,200,2019-12
70,70,70,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 993,128.361557,36.976145,2,200,2019-12
71,71,71,다목적,충청북도 단양군청,충청북도 단양군 단양읍 수촌리 318,128.410665,36.961749,3,200,2019-12
72,72,72,다목적,충청북도 단양군청,충청북도 단양군 매포읍 고양리 163-8,128.276772,37.076144,3,200,2019-12
73,73,73,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 43-45,128.434824,36.898451,2,200,2019-12
74,74,74,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 687,128.420032,36.906605,2,200,2019-12
75,75,75,다목적,충청북도 단양군청,충청북도 단양군 대강면 두음리 678-13,128.352591,36.913355,2,200,2019-12
76,76,76,다목적,충청북도 단양군청,충청북도 단양군 대강면 두음리 678-13,128.352591,36.913355,1,200,2021-05
77,77,77,다목적,충청북도 단양군청,충청북도 단양군 가곡면 덕천리 288-15,128.368638,37.004626,3,200,2019-12
78,78,78,다목적,충청북도 단양군청,충청북도 단양군 어상천면 덕문곡리 890,128.344246,37.05845,3,200,2019-12
79,79,79,다목적,충청북도 단양군청,충청북도 단양군 영춘면 남천리 640,128.503058,37.056353,3,200,2019-12
80,96,96,다목적,충청북도 단양군청,충청북도 단양군 매포읍 우덕리 957-2,128.313179,37.018808,3,200,2021-05
81,80,80,다목적,충청북도 단양군청,충청북도 단양군 적성면 상리 254-5,128.285285,36.973046,3,200,2019-12
82,81,81,다목적,충청북도 단양군청,충청북도 단양군 적성면 하진리 66-3,128.301578,36.941035,3,200,2019-12
83,82,82,다목적,충청북도 단양군청,충청북도 단양군 단양읍 도전리 642,128.36695,36.980672,3,200,2020-06
84,83,83,다목적,충청북도 단양군청,충청북도 단양군 단양읍 도전리 643,128.365988,36.978202,3,200,2020-06
85,84,84,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 978,128.359168,36.976978,3,200,2020-06
86,85,85,다목적,충청북도 단양군청,충청북도 단양군 단양읍 마조리 336,128.382322,36.945177,2,200,2020-06
87,86,86,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 88-15,128.307571,37.027942,3,200,2020-06
88,87,87,다목적,충청북도 단양군청,충청북도 단양군 매포읍 고양리 652-1,128.269751,37.085571,2,200,2020-06
89,88,88,다목적,충청북도 단양군청,충청북도 단양군 매포읍 고양리 372-9,128.269476,37.086586,2,200,2020-06
90,89,89,다목적,충청북도 단양군청,충청북도 단양군 단성면 회산리 42-1,128.295386,36.891494,3,200,2020-06
91,90,90,다목적,충청북도 단양군청,충청북도 단양군 대강면 장림리 139-6,128.351129,36.923106,3,200,2020-06
92,91,91,다목적,충청북도 단양군청,충청북도 단양군 대강면 장림리 166-14,128.347928,36.923645,3,200,2020-06
93,92,92,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 357-3,128.484519,37.076803,3,200,2020-06
94,93,93,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 587-6,128.474175,37.069556,2,200,2020-06
95,94,94,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1020,128.352982,36.981138,3,200,2021-05
96,95,95,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1020,128.35296,36.980576,2,200,2021-05
97,97,97,다목적,충청북도 단양군청,충청북도 단양군 매포읍 고양리 386-9,128.271357,37.080994,3,200,2021-05
98,98,98,다목적,충청북도 단양군청,충청북도 단양군 대강면 덕촌리 130-15,128.386908,36.853855,3,200,2021-05
99,99,99,다목적,충청북도 단양군청,충청북도 단양군 가곡면 사평리 90-4,128.397109,37.034852,3,200,2021-05
100,100,100,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 309-4,128.488059,37.077764,2,200,2021-05
101,101,101,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 309-11,128.488319,37.077535,2,200,2021-05
102,102,102,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 225-2,128.489487,37.075139,2,200,2021-05
103,103,103,차량방범,충청북도 단양군청,충청북도 단양군 대강면 당동리 48-76,128.3664905,36.92034471,2,200,2017-05
104,104,104,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 평동리 448-3,128.293067,37.02514,1,200,2016-09
105,105,105,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 평동리 448-3,128.293067,37.02514,1,200,2017-05
106,106,106,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 김산리 243-7,128.2641049,37.08964762,1,200,2014-12
107,107,107,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 김산리 243-7,128.2641049,37.08964762,1,200,2017-05
108,108,108,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 오사리 106-2,128.509773,37.11347343,1,700,2018-07
109,109,109,차량방범,충청북도 단양군청,충청북도 단양군 단성면 장회리 166-2,128.245097,36.930385,1,200,2017-05
110,110,110,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 석교리 2,128.339513,37.153334,1,700,2018-07
111,111,111,차량방범,충청북도 단양군청,충청북도 단양군 대강면 미노리 581,128.3770063,36.86228416,1,700,2018-07
112,112,112,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 유암리 381-1,128.384577,37.157874,1,700,2018-07
113,113,113,차량방범,충청북도 단양군청,충청북도 단양군 대강면 방곡리 71-3,128.3164882,36.81807799,1,700,2018-07
114,114,114,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 연곡리 898-1,128.319607,37.091615,1,700,2018-07
115,115,115,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 동대리 177-7,128.5506866,37.072766,1,700,2019-04
116,116,116,차량방범,충청북도 단양군청,충청북도 단양군 적성면 상원곡리 391-2,128.2333462,37.063874,1,700,2019-04
117,117,117,차량방범,충청북도 단양군청,충청북도 단양군 단양읍 상진리 270-12,128.3481952,36.982153,1,700,2018-07
118,118,118,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 270-12,128.3481952,36.982153,1,200,2021-05
119,119,119,다목적,충청북도 단양군청,충청북도 단양군 단성면 대잠리 601,128.3091375,36.9041823,2,200,2021-05
120,120,120,다목적,충청북도 단양군청,충청북도 단양군 단성면 양당리 269,128.2526785,36.90251285,1,200,2022-03
121,121,121,다목적,충청북도 단양군청,충청북도 단양군 단양읍 도전리 676,128.365267,36.97755057,2,200,2022-03
122,122,122,차량방범,충청북도 단양군청,충청북도 단양군 단양읍 고수리 97-1,128.3775037,36.98712796,1,500,2022-03
123,123,123,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 가대리 155,128.405166,37.03989029,1,500,2022-03
124,124,124,다목적,충청북도 단양군청,충청북도 단양군 가곡면 가대리 155,128.405166,37.03989029,1,200,2020-05
125,125,125,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 의풍리 94-1,128.6364784,37.05508096,1,500,2022-03
126,126,126,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 임현리 1385,128.3719101,37.09445149,1,500,2012-12
127,127,127,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 사평리 289-1,128.389312,37.01419639,1,130,2012-12
128,128,128,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 연곡리 1384-2,128.3314795,37.07413065,1,500,2012-12
129,129,129,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 향산리 652-8,128.4171927,37.050161,1,500,2022-03
130,130,130,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 의풍리 826-5,128.6079,37.06982627,1,130,2012-12
131,131,131,차량방범,충청북도 단양군청,충청북도 단양군 적성면 각기리 146-3,128.2859274,37.0210705,1,130,2012-12
132,132,132,다목적,충청북도 단양군청,충청북도 단양군 적성면 각기리 146-3,128.2859274,37.0210705,2,200,2019-05
133,133,133,차량방범,충청북도 단양군청,충청북도 단양군 대강면 괴평리 93-4,128.3464706,36.89637929,1,500,2022-03
134,134,134,차량방범,충청북도 단양군청,충청북도 단양군 적성면 소야리 536-6,128.2555965,37.01438006,1,130,2012-12
135,135,135,다목적,충청북도 단양군청,충청북도 단양군 적성면 소야리 536-6,128.2555965,37.01438006,1,200,2021-05
136,136,136,차량방범,충청북도 단양군청,충청북도 단양군 적성면 파랑리 60-5,128.2598506,37.05249247,1,500,2012-12
137,137,137,차량방범,충청북도 단양군청,충청북도 단양군 적성면 하진리 산1-6,128.312625,36.9456111,1,500,2022-03
138,138,138,다목적,충청북도 단양군청,충청북도 단양군 적성면 하진리 산1-6,128.312625,36.9456111,1,200,2015-05
139,139,139,차량방범,충청북도 단양군청,충청북도 단양군 적성면 하진리 산1-6,128.312625,36.9456111,2,200,2019-04
140,140,140,차량방범,충청북도 단양군청,충청북도 단양군 적성면 애곡리 산24-1,128.3330256,36.95999222,1,130,2012-12
141,141,141,다목적,충청북도 단양군청,충청북도 단양군 적성면 애곡리 산24-1,128.3330256,36.95999222,1,200,2021-06
142,142,142,차량방범,충청북도 단양군청,충청북도 단양군 대강면 올산리 산74-73,128.3624343,36.80532144,1,500,2022-03
143,143,143,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 1018,128.2988223,37.03306646,3,200,2022-03
144,144,144,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 358-1,128.3012469,37.031506,1,200,2019-04
145,145,145,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 평동리 692-1,128.295213,37.036431,1,130,2012-12
146,146,146,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 사지원리 88-1,128.443169,37.069092,1,500,2022-03
147,147,147,다목적,충청북도 단양군청,충청북도 단양군 영춘면 사지원리 88-1,128.443169,37.069092,2,200,2022-05
148,148,148,다목적,충청북도 단양군청,충청북도 단양군 단양읍 별곡리 산 13-1,128.3629312,36.98555093,2,200,2017-11
149,149,149,다목적,충청북도 단양군청,충청북도 단양군 가곡면 사평리 496-7,128.383825,37.02526949,3,200,2019-06
150,150,150,다목적,충청북도 단양군청,충청북도 단양군 어상천면 심곡리 296,128.3675774,37.06039164,2,200,2019-06
151,151,151,다목적,충청북도 단양군청,충청북도 단양군 단성면 상방리 107-6,128.3247098,36.93552522,3,200,2020-06
152,152,152,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 389-2,128.487018,37.07389286,2,200,2021-05
153,153,153,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 삼곡리 58-1,128.2747228,37.07410848,1,500,2013-12
154,154,154,다목적,충청북도 단양군청,충청북도 단양군 매포읍 삼곡리 58-1,128.2747228,37.07410848,1,200,2022-03
155,155,155,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 영천리 451,128.299001,37.06888044,1,500,2013-12
156,156,156,다목적,충청북도 단양군청,충청북도 단양군 매포읍 영천리 451,128.299001,37.06888044,2,200,2020-06
157,157,157,다목적,충청북도 단양군청,충청북도 단양군 영춘면 의풍리 1062,128.611477,37.059348,3,200,2021-05
158,158,158,다목적,충청북도 단양군청,충청북도 단양군 적성면 하리 760,128.296555,36.959772,3,200,2021-05
159,159,159,다목적,충청북도 단양군청,충청북도 단양군 단양읍 천동리 196-1,128.4183,36.9732,3,200,2022-05
160,160,160,다목적,충청북도 단양군청,충청북도 단양군 매포읍 상시리 118-2,128.3044,37.0514,3,200,2022-05
161,161,161,다목적,충청북도 단양군청,충청북도 단양군 매포읍 안동리 184-4,128.3165,37.0347,3,200,2022-05
162,162,162,다목적,충청북도 단양군청,충청북도 단양군 단성면 북상리 68-1,128.3433,36.924,3,200,2022-05
163,163,163,다목적,충청북도 단양군청,충청북도 단양군 대강면 직티리 291-1,128.3397,36.8849,2,200,2022-05
164,164,164,다목적,충청북도 단양군청,충청북도 단양군 대강면 두음리 603-2,128.3544,36.9148,2,200,2022-05
165,165,165,다목적,충청북도 단양군청,충청북도 단양군 가곡면 사평리 681,128.3942,37.0313,3,200,2022-05
166,166,166,다목적,충청북도 단양군청,충청북도 단양군 영춘면 장발리 175-4,128.4239,37.0835,3,200,2022-05
167,167,167,다목적,충청북도 단양군청,충청북도 단양군 영춘면 사지원리 산95-6,128.4298,37.0767,2,200,2022-05
168,168,168,다목적,충청북도 단양군청,충청북도 단양군 영춘면 백자리 산38-9,128.4881,37.0524,3,200,2022-05
169,169,169,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 1377,128.2959,37.0327,3,200,2022-05
170,170,170,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 362-1,128.3025,37.0311,3,200,2022-05
171,171,171,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 268-17,128.3026,37.0351,3,200,2022-05
172,172,172,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 129,128.3073,37.029,3,200,2022-05
173,173,173,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 1267,128.2974,37.0338,3,200,2022-05
174,174,174,다목적,충청북도 단양군청,충청북도 단양군 매포읍 평동리 1268,128.2982,37.0335,3,200,2022-05
175,175,175,다목적,충청북도 단양군청,충청북도 단양군 매포읍 하시리 209-1,128.3112591,37.04546163,2,200,2022-05
176,176,176,다목적,충청북도 단양군청,충청북도 단양군 적성면 상리 358-6,128.2845146,36.96975019,1,200,2013-12
177,177,177,다목적,충청북도 단양군청,충청북도 단양군 단양읍 심곡리 산37-9,128.335371,36.95664805,1,200,2013-12
178,178,178,다목적,충청북도 단양군청,충청북도 단양군 단양읍 노동리 335-5,128.373744,36.95540525,2,200,2013-12
179,179,179,차량방범,충청북도 단양군청,충청북도 단양군 단성면 중방리 71-5,128.317562,36.93276364,1,500,2013-12
180,180,180,다목적,충청북도 단양군청,충청북도 단양군 단성면 중방리 71-5,128.317562,36.93276364,2,200,2022-05
181,181,181,다목적,충청북도 단양군청,충청북도 단양군 영춘면 하리 179-4,128.4930213,37.06467475,2,200,2013-12
182,182,182,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 심곡리 104-4,128.3870226,37.0567096,1,500,2013-12
183,183,183,다목적,충청북도 단양군청,충청북도 단양군 어상천면 심곡리 104-4,128.3870226,37.0567096,1,200,2022-05
184,184,184,차량방범,충청북도 단양군청,충청북도 단양군 대강면 용부원리 산13-39,128.433978,36.89986027,1,500,2013-12
185,185,185,차량방범,충청북도 단양군청,충청북도 단양군 대강면 방곡리 49-1,128.3175205,36.82071866,1,500,2014-09
186,186,186,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 상리 38-8,128.4913005,37.086736,1,500,2014-09
187,187,187,다목적,충청북도 단양군청,충청북도 단양군 영춘면 상리 38-8,128.4913005,37.086736,2,200,2022-05
188,188,188,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 덕천리 134-2,128.3796545,37.00082809,1,500,2014-09
189,189,189,다목적,충청북도 단양군청,충청북도 단양군 가곡면 덕천리 134-2,128.3796545,37.00082809,1,200,2020-05
190,190,190,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 상시리 221-9,128.299385,37.05726,1,500,2014-09
191,191,191,다목적,충청북도 단양군청,충청북도 단양군 매포읍 상시리 221-9,128.299385,37.05726,1,200,2021-05
192,192,192,다목적,충청북도 단양군청,충청북도 단양군 단양읍 금곡리 177-1,128.4085307,36.97598785,2,200,2022-03
193,193,193,다목적,충청북도 단양군청,충청북도 단양군 어상천면 임현리 415-6,128.3550679,37.10152201,2,200,2014-09
194,194,194,다목적,충청북도 단양군청,충청북도 단양군 영춘면 사지원리 649-15,128.430094,37.07783282,2,200,2014-09
195,195,195,다목적,충청북도 단양군청,충청북도 단양군 단양읍 덕상리 산53-10,128.3336861,36.94676461,1,200,2014-09
196,196,196,다목적,충청북도 단양군청,충청북도 단양군 적성면 기동리 763-2,128.285811,36.99757098,2,200,2014-09
197,197,197,다목적,충청북도 단양군청,충청북도 단양군 단양읍 장현리 127-1,128.373441,36.93891132,1,500,2021-03
198,198,198,다목적,충청북도 단양군청,충청북도 단양군 단양읍 장현리 127-1,128.373441,36.93891132,2,200,2015-08
199,199,199,다목적,충청북도 단양군청,충청북도 단양군 단양읍 금곡리 116,128.413505,36.97599063,2,200,2015-08
200,200,200,다목적,충청북도 단양군청,충청북도 단양군 매포읍 응실리 223-4,128.320002,37.00477,2,200,2015-08
201,201,201,차량방범,충청북도 단양군청,충청북도 단양군 단성면 고평리 333-3,128.246059,36.920341,1,500,2015-08
202,202,202,다목적,충청북도 단양군청,충청북도 단양군 단성면 고평리 333-3,128.246059,36.920341,1,200,2022-05
203,203,203,다목적,충청북도 단양군청,충청북도 단양군 대강면 장정리 7-7,128.3964406,36.84521853,2,200,2015-08
204,204,204,다목적,충청북도 단양군청,충청북도 단양군 대강면 용부원리 559-1,128.3782072,36.91533193,2,200,2015-08
205,205,205,다목적,충청북도 단양군청,충청북도 단양군 가곡면 사평리 산90-2,128.3896324,37.00061531,2,200,2015-08
206,206,206,다목적,충청북도 단양군청,충청북도 단양군 가곡면 대대리 177-5,128.4275864,36.99432865,1,200,2015-08
207,207,207,다목적,충청북도 단양군청,충청북도 단양군 가곡면 대대리 177-5,128.4275864,36.99432865,1,200,2022-03
208,208,208,다목적,충청북도 단양군청,충청북도 단양군 어상천면 임현리 1203-7,128.3507087,37.102568,1,200,2015-08
209,209,209,다목적,충청북도 단양군청,충청북도 단양군 적성면 하원곡리 160-7,128.2451999,37.041428,1,200,2015-08
210,210,210,다목적,충청북도 단양군청,충청북도 단양군 단양읍 노동리 733-3,128.364964,36.96799619,1,200,2016-08
211,211,211,다목적,충청북도 단양군청,충청북도 단양군 매포읍 가평리 476-5,128.2846233,37.065356,1,200,2016-08
212,212,212,다목적,충청북도 단양군청,충청북도 단양군 단성면 벌천리 산17-7,128.2811006,36.856928,2,200,2016-08
213,213,213,다목적,충청북도 단양군청,충청북도 단양군 대강면 황정리 405,128.3532591,36.88450065,1,500,2016-08
214,214,214,다목적,충청북도 단양군청,충청북도 단양군 가곡면 여천리 155-10,128.367163,37.02121218,2,200,2016-08
215,215,215,다목적,충청북도 단양군청,충청북도 단양군 가곡면 가대리 521-1,128.401793,37.04491902,1,200,2016-08
216,216,216,다목적,충청북도 단양군청,충청북도 단양군 영춘면 사이곡리 111-9,128.403424,37.11599761,1,200,2016-08
217,217,217,다목적,충청북도 단양군청,충청북도 단양군 영춘면 용진리 595,128.5089134,37.08144052,2,200,2016-08
218,218,218,다목적,충청북도 단양군청,충청북도 단양군 어상천면 임현리 517-1,128.3566211,37.106069,2,200,2016-08
219,219,219,다목적,충청북도 단양군청,충청북도 단양군 적성면 하리 113-2,128.295218,36.95737508,2,200,2016-08
220,220,220,다목적,충청북도 단양군청,충청북도 단양군 가곡면 여천리 586-1,128.3555807,37.0245017,2,200,2016-11
221,221,221,다목적,충청북도 단양군청,충청북도 단양군 적성면 하원곡리 141-1,128.242744,37.04161197,1,200,2016-11
222,222,222,다목적,충청북도 단양군청,충청북도 단양군 적성면 하원곡리 141-1,128.242744,37.04161197,1,200,2022-05
223,223,223,다목적,충청북도 단양군청,충청북도 단양군 단양읍 현천리 217-13,128.3306981,36.94247138,1,200,2017-10
224,224,224,다목적,충청북도 단양군청,충청북도 단양군 단양읍 도담리 산4-25,128.3563934,36.99766482,2,200,2017-10
225,225,225,다목적,충청북도 단양군청,충청북도 단양군 대강면 미노리 445-1,128.368334,36.87218229,1,200,2017-10
